Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2020-09-18,72.4022,72.4022,71.5306,71.5306,403.1250000129
2020-09-21,72.7517,72.9264,71.0074,71.0074,686.4583333553
2020-09-22,71.0074,71.88,71.0074,71.88,573.9583333517
2020-09-23,71.88,72.0538,71.5306,71.7043,412.5000000132
2020-09-24,71.7043,72.0538,71.5306,71.88,704.1666666892
2020-09-25,71.88,72.4022,71.7043,72.0538,648.9583333541
2020-09-28,72.4022,72.4022,72.0538,72.4022,566.6666666848
2020-09-29,72.4022,72.5779,71.7043,72.4022,754.1666666908
2020-09-30,72.0538,72.5779,72.0538,72.5779,578.1250000185
2020-10-01,72.5779,72.9264,72.4022,72.7517,1335.4166667094
2020-10-02,73.2749,73.2749,72.7517,73.2749,1232.2916667061
2020-10-05,73.2749,73.4496,72.4022,73.4496,1265.6250000405
2020-10-06,73.4496,73.4496,72.9264,73.1011,2653.1250000849
2020-10-07,73.2749,73.4496,71.88,73.1011,3293.7500001054
2020-10-08,72.9178,74.2003,69.8026,74.017,2115.6250000677
2020-10-09,72.3677,73.1011,71.4518,71.6352,1117.7083333691
2020-10-12,73.2835,73.2835,70.7194,70.9018,855.2083333607
2020-10-13,70.7194,70.7194,70.1693,70.536,1153.1250000369
2020-10-14,70.3526,70.3526,69.9859,69.9859,950.0000000304
2020-10-15,69.6192,69.6192,66.8717,67.055,1978.1250000633
2020-10-16,66.8717,67.6042,66.505,67.6042,683.3333333552
2020-10-19,67.6042,69.4368,67.6042,69.0701,177.083333339
2020-10-20,69.4368,69.6192,68.7034,68.7034,458.333333348
2020-10-21,70.3526,70.3526,67.7875,67.7875,403.1250000129
2020-10-22,67.7875,68.1542,64.4899,65.7725,3213.5416667695
2020-10-23,65.7725,66.8717,65.4058,66.3216,790.6250000253
2020-10-26,66.6883,66.8717,65.4058,65.4058,902.0833333622
2020-10-27,65.2224,65.9558,65.2224,65.2224,344.7916666777
